G#,G,F#,F,E,D#,D,C#,C,B,A#,A
0.014871282,0.012246938,0.581604599,0.008372907,0.058110472,0.016995751,0.231317171,0.000749813,0.006123469,0.001874531,0.066483379,0.001249688
0.038236201,0.007092199,0.464179258,0.017473533,0.097029499,0.027957652,0.137526981,0.00842841,0.020968239,0.035460993,0.143899681,0.001747353
0.051813472,0.01324122,0.356169641,0.035309921,0.019829847,0.018998273,0.342096846,0.002622657,0.00511738,0.040555236,0.09556707,0.018678437
0.028320313,0.022851563,0.129394531,0.027734375,0.067578125,0.059472656,0.321582031,0.032910156,0.029980469,0.077636719,0.194042969,0.008496094
0.019147084,0.0039648,0.325790543,0.017986655,0.018760275,0.052025916,0.471231022,0.003481288,0.007252683,0.004835122,0.069238952,0.006285659
0.016569813,0.011386838,0.26511701,0.005732684,0.018690121,0.007617402,0.352285221,0.007303283,0.004868855,0.024815455,0.282393592,0.003219727
0.020954876,0.035004167,0.176211454,0.036790094,0.010358376,0.027741398,0.355875699,0.002500298,0.047743779,0.052268127,0.205500655,0.029051078
0.028894142,0.006960862,0.203703704,0.038613081,0.09535067,0.020488574,0.358024691,0.004990806,0.036249015,0.046624639,0.133307066,0.02679275
0.028347485,0.001698236,0.525800131,0.011626388,0.052514696,0.002482038,0.281645983,0.003004572,0.003527106,0.009928152,0.076943174,0.002482038
0.012606334,0.012606334,0.207440812,0.178128523,0.099005842,0.027979912,0.293532848,0.004509583,0.012913805,0.072870759,0.068463667,0.00994158
0.068745498,0.025728105,0.230729649,0.040650407,0.18699187,0.03653391,0.158999691,0.018215499,0.015231038,0.025522281,0.173510343,0.01914171
0.024103469,0.028336273,0.315931805,0.0223398,0.053968254,0.034450323,0.309347443,0.000235156,0.014697237,0.08712522,0.099118166,0.010346855
0.007036659,0.004880263,0.412552491,0.000907956,0.020769493,0.001475428,0.488593803,0.000226989,0.001248439,0.017251163,0.043127908,0.001929406
0.013730646,0.000389522,0.420780991,0.009445905,0.023858214,0.013341124,0.280845262,0.004966404,0.005940208,0.018210147,0.207615152,0.000876424
0.004342058,0.000361838,0.354239537,0.017850681,0.30635629,0.003618381,0.189120733,0.007357375,0.005668797,0.024363768,0.082619708,0.004100832
0.065437174,0.018664593,0.476835907,0.011554272,0.043328519,0.037106988,0.187756916,0.007110321,0.025774914,0.04955005,0.061326519,0.015553827
0.052549863,0.003821808,0.405111668,0.031052192,0.174728293,0.00632987,0.208049684,0.000836021,0.006688164,0.019347904,0.088498746,0.002985788
0.039547304,0.004323499,0.208036623,0.009282808,0.070956256,0.01525941,0.301881994,0.004832146,0.006739573,0.034969481,0.303407935,0.00076297
0.009290427,0.000269288,0.334859297,0.004847179,0.15739868,0.001885014,0.299717248,0.002827521,0.005385755,0.011983304,0.167496971,0.004039316
0.018547341,0.021141375,0.170817121,0.018677043,0.012840467,0.102075227,0.369909209,0.036575875,0.031258106,0.079377432,0.13463035,0.004150454
0.010348531,0.023625891,0.357610075,0.017475349,0.040417846,0.017182466,0.278922191,0.006541052,0.003221712,0.033681539,0.207165869,0.003807478
0.037835744,0.046358471,0.29106405,0.00697314,0.022985537,0.012654959,0.383522727,0.002453512,0.009555785,0.023372934,0.161027893,0.002195248
0.006312582,0.036134088,0.152154985,0.203308663,0.084893339,0.071397475,0.058989987,0.040052242,0.0237266,0.114714845,0.183500218,0.024814976
0.059470213,0.017275678,0.279342477,0.032876139,0.04366035,0.034656057,0.235158622,0.003978641,0.017066276,0.028059889,0.232855198,0.015600461
0.00569635,0.00058126,0.129969774,0.002441293,0.057079749,0.007207626,0.617763311,0.000348756,0.001976285,0.007672634,0.163101604,0.006161358
